estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc
494593;769;46,71;133,43;1243;19,45;1440;1480;9,25;12,62;13,4;10,01;46,36;56,53
494593;769;46,71;133,43;1243;36,83;1440;1480;13,85;18,4;19,58;22,57;156,11;182,72
494593;769;46,71;133,43;1243;49,15;1440;1480;15,55;22,5;23,66;28,58;252,15;289,73
494593;769;46,71;133,43;1243;55,81;1440;1480;16,4;25,15;27,3;31,88;317,75;361,64
494593;770;39,62;201,19;1244;30,58;1547,34;1503,13;12,25;18,15;19,52;18,1;127,08;150,73
494593;770;39,62;201,19;1244;42,71;1547,34;1503,13;13,51;19,43;20,86;22,07;168,67;198,2
494593;770;39,62;201,19;1244;53,02;1547,34;1503,13;14,46;21;23,18;25,39;219,78;250,57
494593;770;39,62;201,19;1244;64,55;1547,34;1481,02;15,46;23,4;25,49;28,64;277,01;315,83
494593;771;116,76;169,2;1245;30,42;1746,28;1746,28;12,06;15,25;16,82;20,55;119,93;146,51
494593;771;116,76;169,2;1245;42,54;1746,28;1746,28;13,5;19,31;21,76;25,71;200,97;235,48
494593;771;116,76;169,2;1245;52,86;1746,28;1724,18;14,48;21,73;24,5;29,83;276,56;315,32
494593;771;116,76;169,2;1245;64,39;1746,28;1724,18;15,18;22,96;27,22;33,1;329,27;375,41
494593;772;117,07;118,03;1246;30,39;1436,81;1458,92;12,46;18,83;19,48;17,99;130,39;153,87
494593;772;117,07;118,03;1246;42,51;1436,81;1458,92;14,03;23,4;24,22;22,89;220,38;250,66
494593;772;117,07;118,03;1246;52,83;1436,81;1458,92;15,1;23,76;24,56;26,62;257,46;293,54
494593;772;117,07;118,03;1246;64,36;1436,81;1458,92;16,03;24,92;26,08;30,15;307,36;350,44
494593;773;180,09;175,1;1247;29,76;1640;1620;8,95;13,06;13,88;10,37;50,43;61,49
494593;773;180,09;175,1;1247;41,92;1640;1620;11,77;17,3;18,62;17,95;114,54;136,42
494593;773;180,09;175,1;1247;54,47;1640;1620;13,12;21,14;23,28;22,41;180,32;211,07
494593;773;180,09;175,1;1247;66,56;1640;1620;13,93;24,96;27,62;25,39;252,81;290,48
494593;774;127,8;124,33;1248;40,51;1640;1620;12,96;18,44;20,44;21,75;147,58;175,77
494593;774;127,8;124,33;1248;53,06;1640;1620;13,97;21,8;24,12;25,42;210,41;246,28
494593;774;127,8;124,33;1248;65,14;1640;1620;14,87;24,95;27,34;28,94;287,89;330,78
494593;775;73,51;188,42;1249;25,3;1640;1620;8,56;12,66;12,8;9,41;44,01;53,66
494593;775;73,51;188,42;1249;37,45;1640;1620;11,79;17,37;18,26;17,9;113,84;135,58
494593;775;73,51;188,42;1249;50;1640;1620;13,62;21,52;23,6;24;194,77;227,98
494593;775;73,51;188,42;1249;62,09;1640;1620;14,71;24,84;26,86;28,13;275,98;317,11
494593;776;101,58;142,95;1250;25,07;1540;1580;8,24;12,35;13,42;8,57;39,38;48,02
494593;776;101,58;142,95;1250;37,22;1540;1580;12,08;17,41;18,5;18,46;118,7;141,37
494593;776;101,58;142,95;1250;49,77;1540;1580;14,09;21,52;23,66;25,48;210,34;246,2
