estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
573116;192;157,15;64,4;319;50,3;1635,72;1591,51;13,4;22,39;24,22;22,65;190,78;223,3;28,96941844;14,94273433;17,72737341;20,71424323;23,89898676;27,27768597;1;0;1;2;27,62
573116;192;157,15;64,4;320;50,3;1740;1660;11,87;19,14;20,18;18,58;133,14;155,84;26,10835855;14,94273433;17,72737341;20,71424323;23,89898676;27,27768597;3;0;1;3;25,37
573116;158;104,01;336,3;267;50,49;1460,56;1363,19;12,89;21,4;23;18,24;162,09;186,77;28,08981369;15,01221158;17,79410465;20,7755227;23,95200994;27,31956263;2;0;0;2;27,62
573116;159;50,51;203,23;268;50,56;1635,76;1635,76;13,21;22,81;24,2;23,11;212,41;242,94;28,90695714;15,03777995;17,81864766;20,79804826;23,97149077;27,33494103;1;0;1;1;29,87
573116;152;43,21;277,03;259;50,66;1460;1300;14,05;19,06;19,98;20,5;146,42;171,38;25,87211691;15,07427941;17,85366968;20,83017994;23,99927017;27,35686378;3;0;1;2;27,62
573116;145;113,02;303,89;248;50,76;1560;1520;14,85;21,3;25,18;28,78;250,25;292,91;29,53815903;15,11074726;17,88864527;20,86225558;24,02699045;27,37873208;1;0;1;1;29,87
573116;153;71,24;331,57;260;50,76;1360;1320;13,55;19,91;22,76;19,98;155,01;181,44;27,86523736;15,11074726;17,88864527;20,86225558;24,02699045;27,37873208;2;0;2;2;27,62
573116;132;23,98;313,27;229;50,79;1720;1740;14,87;19,97;23,3;31,37;248,37;291,24;28,23876877;15,12168142;17,89912888;20,87186735;24,03529502;27,38528198;2;0;1;2;27,62
573116;162;139,98;116,48;271;51,28;1503,13;1503,13;12,62;19,28;20,33;19,05;146,24;167,26;25,98153455;15,29986515;18,0697683;21,02814733;24,17018731;27,49157552;3;0;0;3;25,37
573116;138;151,68;64,44;238;51,38;1680;1660;12,9;21,05;24,32;22,26;179,29;209,86;28,83528465;15,33613399;18,10445513;21,05987657;24,19754362;27,51310968;1;0;1;2;27,62
573116;160;80;73,84;269;51,41;1540;1520;14,19;22,76;22,76;24,36;219,01;250,49;27,72879502;15,3470083;18,11485207;21,06938448;24,20573915;27,51955952;2;0;1;2;27,62
573116;161;145,41;349,3;270;51,41;1780;1780;10,67;17,01;18,74;16,28;111,74;127,81;24,73801603;15,3470083;18,11485207;21,06938448;24,20573915;27,51955952;3;0;1;3;25,37
573116;172;150,67;189,84;285;51,51;1621,18;1621,18;14,06;23,55;24,3;25,42;247,18;280,58;28,79676649;15,38323478;18,14947818;21,10104133;24,23301972;27,54102436;1;0;1;1;29,87
573116;172;150,67;189,84;286;51,51;1543,57;1569,74;14,04;22,51;23,62;24,7;227,35;260,29;28,31948475;15,38323478;18,14947818;21,10104133;24,23301972;27,54102436;2;0;1;2;27,62
573116;174;146,9;200,97;288;51,51;1767,3;1767,3;10,75;20,65;22,5;16,47;147,85;168,68;27,52087124;15,38323478;18,14947818;21,10104133;24,23301972;27,54102436;2;0;1;3;25,37
573116;169;163,72;69,56;280;51,54;1584,49;1690,13;12,13;21,21;22,76;20,29;181,26;207,8;27,70135789;15,39409635;18,15985689;21,11052753;24,24119255;27,54745344;2;0;1;2;27,62
573116;168;39,14;303,91;279;51,68;1534,02;1636,28;13,47;22,5;25,5;24,22;233,12;265,05;29,596536;15,44474462;18,20823524;21,15473034;24,27926334;27,57739268;1;0;1;1;29,87
573116;113;90,26;213,01;198;51,87;1569,44;1481,02;13,19;17,23;19,9;21,38;158,85;188,86;25,51099115;15,51337823;18,27374479;21,21454576;24,33074928;27,61785876;3;0;2;3;25,37
573116;173;157,18;131,34;287;52,56;1612,77;1666,53;13,86;24,16;25;25,86;262,75;296,54;29,09251514;15,76161344;18,51022329;21,43008951;24,5159782;27,76322455;1;0;1;2;27,62
573116;170;57,37;234,66;281;52,6;1657,23;1795,33;13,5;22,48;24,7;26,93;255,36;290,98;28,87306546;15,77595463;18,52386354;21,44250421;24,52663265;27,77157575;1;0;1;1;29,87
573116;170;57,37;234,66;282;52,6;1578,66;1710,21;13,64;21,9;23,72;26,26;239,67;274,85;28,172845;15,77595463;18,52386354;21,44250421;24,52663265;27,77157575;2;0;1;1;29,87
573116;194;178,16;156,3;323;52,66;1505,99;1380,49;14,92;19,77;26,24;26;222,3;257,52;29,94185115;15,79745621;18,5443098;21,46110975;24,54259725;27,78408709;1;0;0;1;29,87
573116;201;70,74;343,56;333;52,69;1420;1380;13,29;20,35;22,12;19,41;149,01;174,41;26,98453207;15,80820239;18,55452657;21,47040509;24,55057188;27,79033581;2;0;1;2;27,62
