estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
494631;1059;102,08;225,1;1675;61,14;1759,499574;1730,183033;16,72274325;27,72291409;29,4924618;36,13602688;408,5171629;449,9928776;31,36424653;19,56538666;22,42729503;25,38141796;28,4220845;31,54441676;1;0;1;1;31,535
494631;1047;151,21;193,7;1646;61,17;1635,093127;1524,242863;17,08493138;25,95336638;29,93743578;34,45961326;365,3132935;416,2472924;31,7167832;19,5756011;22,43658999;25,38946167;28,42855715;31,5490093;1;0;1;1;31,535
494631;1047;151,21;193,7;1647;61,17;1633,737508;1522,980379;17,29189602;27,31933303;29,25445246;34,29404154;369,6802475;421,2247921;31,16791139;19,5756011;22,43658999;25,38946167;28,42855715;31,5490093;1;0;1;1;31,535
494631;1047;151,21;193,7;1648;61,17;1529,727426;1581,582418;15,36712483;25,43595477;29,47176533;29,39932771;304,2173305;346,6243861;31,34288765;19,5756011;22,43658999;25,38946167;28,42855715;31,5490093;1;0;1;1;31,535
494631;1047;151,21;193,7;1649;61,17;1687,258565;1602,899776;16,65030563;27,49525298;29,47176533;34,7286673;381,1874817;434,3360023;31,34288765;19,5756011;22,43658999;25,38946167;28,42855715;31,5490093;1;0;0;1;31,535
494631;1049;149,51;210,86;1652;61,27;1597,156507;1570,530506;15,82244705;23,56292474;27,06062723;30,43415093;296,3423258;328,8668196;29,36346082;19,60962085;22,46754013;25,41623975;28,45010092;31,56429253;2;0;0;2;29,125
494631;1057;180,69;323,36;1669;61,33;1565,82206;1722,401162;13,73210414;21,51397476;26,52251915;26,12928633;234,9255676;273,6590008;28,90716103;19,6300117;22,48608581;25,43228133;28,46300378;31,57344388;2;0;1;2;29,125
494631;1057;180,69;323,36;1670;61,33;1689,183337;1717,340876;16,9297079;26,24311688;27,76430702;37,02597485;366,7516977;427,2060703;29,92957917;19,6300117;22,48608581;25,43228133;28,46300378;31,57344388;2;0;1;2;29,125
494631;1058;62,16;197,33;1671;61,33;1539,920435;1385,928392;17,24015486;26,70878733;28,79913024;30,89982138;340,1774374;374,7094883;30,77321396;19,6300117;22,48608581;25,43228133;28,46300378;31,57344388;1;0;1;1;31,535
494631;1058;62,16;197,33;1672;61,33;1682,456986;1598,336206;17,14702077;26,27416158;28,33345979;35,19433775;380,3803196;418,9895739;30,39449592;19,6300117;22,48608581;25,43228133;28,46300378;31,57344388;2;0;1;1;31,535
494631;1058;62,16;197,33;1673;61,33;1715,695507;1544,132166;16,87796673;27,98161989;28,66460322;32,92807489;374,4921754;412,5115806;30,66395874;19,6300117;22,48608581;25,43228133;28,46300378;31,57344388;1;0;1;1;31,535
494631;1061;22,68;332,12;1678;61,47;1579,160932;1605,476486;15,83279528;25,88092876;26,83296612;30,47554386;310,0019923;351,9123328;29,135575;19,67752904;22,5292879;25,46963806;28,49304238;31,59474294;2;0;0;2;29,125
494631;1061;22,68;332,12;1679;61,47;1755,72247;1726,457669;16,03975993;25,00132902;27,96092343;33,85941579;339,1840071;385,0370241;30,06475819;19,67752904;22,5292879;25,46963806;28,49304238;31,59474294;2;0;1;2;29,125
494631;1080;109,22;301,04;1706;61,5;1774,74252;1774,74252;14,84971322;24,19416691;27,76430702;30,52728502;313,8825794;356,9519218;29,89783231;19,68770016;22,53853254;25,47762968;28,49946685;31,59929719;2;0;1;2;29,125
494631;1080;109,22;301,04;1707;61,5;1719,927934;1777,257141;15,20155312;25,00132902;26,33625097;31,07574133;317,1526208;360,6669372;28,71716572;19,68770016;22,53853254;25,47762968;28,49946685;31,59929719;2;0;0;2;29,125
494631;1040;66,59;280,08;1632;61,63;1511,421404;1410,660667;14,18742636;24,55635503;27,03993076;21,40014421;210,876276;240,7205777;29,27492304;19,73172936;22,57853981;25,5122055;28,52725582;31,61899232;2;0;0;2;29,125
494631;1040;66,59;280,08;1633;61,63;1702,80161;1617,666704;13,28713016;22,59019091;25,37386538;21,29666189;193,4291565;220,769186;27,88368154;19,73172936;22,57853981;25,5122055;28,52725582;31,61899232;3;0;0;3;26,715
494631;1034;115,33;344,1;1620;61,76;1552,234831;1593,62776;14,43578393;23,79058585;27,23654718;25,46699947;238,195609;273,6900455;29,41225431;19,77568436;22,61846132;25,54669283;28,55496311;31,63862268;2;0;1;2;29,125
